#KEY	featureCounts on dataset 100 and 121: Counts_2	featureCounts on dataset 100 and 118: Counts_2	featureCounts on dataset 100 and 115: Counts_2	featureCounts on dataset 100 and 109: Counts_2	featureCounts on dataset 100 and 112: Counts_2	featureCounts on dataset 100 and 106: Counts_2
ENSG00000023287.15	2924	3109	3988	1546	2309	1569
ENSG00000023318.11	1697	1475	2302	1117	1746	1242
ENSG00000023330.17	467	718	652	503	618	773
ENSG00000023445.19	887	629	837	525	492	281
ENSG00000023516.11	4082	2811	5936	2448	3354	2474
ENSG00000023572.11	664	669	844	369	556	474
ENSG00000023608.7	112	123	159	46	66	77
ENSG00000023697.15	391	518	492	244	284	344
ENSG00000023734.13	879	932	1246	702	845	690
ENSG00000023839.13	63	47	77	63	40	56
ENSG00000023892.14	462	599	499	307	463	645
ENSG00000023902.15	356	739	707	343	500	681
ENSG00000023909.12	440	524	728	283	447	285
ENSG00000024048.13	3761	3480	5078	2449	3308	3611
ENSG00000024422.14	1107	1188	1765	1772	2645	2339
ENSG00000024526.19	20	87	37	30	26	2
ENSG00000024862.20	526	699	725	232	376	326
ENSG00000025039.17	712	481	631	534	396	291
ENSG00000025156.15	493	565	620	281	408	317
ENSG00000025293.19	1387	1576	2126	1233	1361	1675
ENSG00000025423.13	4	35	30	11	24	15
ENSG00000025434.21	567	1026	760	578	548	761
ENSG00000025708.16	525	1016	766	519	658	838
ENSG00000025770.21	501	789	674	583	466	684
ENSG00000025772.10	391	581	434	376	425	605
ENSG00000025796.16	1900	1236	2475	1233	1941	1621
ENSG00000025800.15	1373	1604	1942	1368	1601	1940
ENSG00000026025.18	10578	16549	17661	8182	13180	7757
ENSG00000026036.23	0	0	1	0	0	0
ENSG00000026103.26	1059	1229	1847	644	975	917
ENSG00000026297.19	1009	1257	1243	847	798	1041
ENSG00000026508.23	8892	5058	11046	5208	9008	13648
ENSG00000026559.16	48	74	79	34	68	100
ENSG00000026652.17	773	901	1248	533	715	1128
ENSG00000026751.19	363	122	223	360	258	209
ENSG00000026950.20	1564	1936	2012	1330	1600	1990
ENSG00000027001.12	542	547	742	302	417	481
ENSG00000027075.19	1015	974	1360	883	921	1328
ENSG00000027644.6	70	56	131	89	79	107
ENSG00000027697.18	4194	3984	3644	2021	3258	2173
ENSG00000027847.16	374	533	476	377	415	571
ENSG00000027869.15	26	24	68	47	59	72
ENSG00000028116.20	1610	1318	2112	817	1233	863
ENSG00000028137.21	502	657	809	631	791	1110
ENSG00000028203.21	2103	2388	3330	1421	2216	2020
ENSG00000028277.24	96	98	154	77	159	179
ENSG00000028310.20	764	933	1113	757	836	1182
ENSG00000028528.17	2935	3356	4066	2545	3294	4028
ENSG00000028839.11	251	226	252	100	131	91
ENSG00000029153.17	83	142	205	53	108	144
ENSG00000029363.19	5274	5165	6661	3196	4454	3732
ENSG00000029364.14	2925	4248	3592	1711	2556	2787
ENSG00000029534.23	10	27	30	11	13	32
ENSG00000029559.9	0	0	0	0	0	1
ENSG00000029639.13	337	287	509	228	252	332
ENSG00000029725.19	2134	2589	2511	1404	3151	5571
ENSG00000029993.17	129	233	154	92	161	152
ENSG00000030066.16	1667	1570	2578	1310	1352	1620
ENSG00000030110.16	223	422	285	204	195	211
ENSG00000030304.16	80	45	148	37	55	75
ENSG00000030419.19	756	558	1128	348	552	741
ENSG00000030582.21	2025	4077	3487	1842	3283	2901
ENSG00000031003.13	2482	2487	4024	1576	2311	2043
ENSG00000031081.13	1333	1757	2488	1419	1732	2501
ENSG00000031691.9	125	158	169	53	101	60
ENSG00000031698.15	2432	3808	3016	2170	2734	3906
ENSG00000031823.16	777	1105	1051	826	1132	1478
ENSG00000032219.21	1373	1177	1930	775	1436	1229
ENSG00000032389.15	256	336	289	188	213	297
ENSG00000032444.17	618	1175	1048	761	816	1113
ENSG00000032742.20	718	624	966	415	525	582
ENSG00000033011.16	235	449	261	228	212	312
ENSG00000033030.18	730	947	1028	660	711	842
ENSG00000033050.11	160	291	240	213	138	267
ENSG00000033100.18	1034	1602	1392	769	979	1215
ENSG00000033122.23	65	143	181	78	184	86
ENSG00000033170.19	1593	3332	3457	792	2205	2784
ENSG00000033178.15	2395	2159	3033	1133	1592	824
ENSG00000033327.14	1165	1089	1421	1057	1440	1833
ENSG00000033627.20	1619	1765	2319	1610	1802	2310
ENSG00000033800.16	1716	1265	2412	1434	1860	2341
ENSG00000033867.20	7695	3588	5181	2656	5606	3322
ENSG00000034053.17	81	124	105	106	65	75
ENSG00000034152.22	297	378	457	565	360	346
ENSG00000034239.13	99	114	157	73	117	101
ENSG00000034510.8	9385	29167	14236	5905	9022	9007
ENSG00000034533.14	562	510	656	361	512	533
ENSG00000034677.15	2514	2584	3635	2111	2118	2170
ENSG00000034693.17	646	610	823	346	413	404
ENSG00000034713.9	737	1150	1096	453	486	544
ENSG00000034971.19	60	42	16	121	104	21
ENSG00000035115.24	2612	2237	2647	1801	1758	1734
ENSG00000035141.12	488	743	668	328	412	441
ENSG00000035403.20	3747	4390	5831	4245	4193	5880
ENSG00000035499.15	15	42	16	15	13	11
ENSG00000035664.13	711	747	736	707	631	683
ENSG00000035681.12	1216	1249	1680	1059	1132	1162
ENSG00000035687.11	1131	1231	1637	772	804	754
ENSG00000035720.10	45	35	56	16	29	14
ENSG00000035862.15	4216	4379	7015	3717	6622	8588
ENSG00000035928.19	2476	2510	2966	1524	2199	2074
ENSG00000036054.15	1365	1586	1849	655	969	737
ENSG00000036257.16	1756	1516	2432	1065	1514	1311
ENSG00000036448.12	23	46	18	18	37	41
ENSG00000036473.11	1	9	1	10	1	3
ENSG00000036530.11	34	53	60	40	49	64
ENSG00000036549.15	3283	3559	4962	2062	3017	2765
ENSG00000036565.17	0	0	1	0	0	0
ENSG00000036672.18	45	62	52	170	75	54
ENSG00000036828.19	2	4	1	2	1	2
ENSG00000037042.11	495	662	834	582	619	643
ENSG00000037241.9	103	161	116	83	98	122
ENSG00000037280.18	622	646	753	710	543	533
